region_id,region,population,area_sq_km
173,Tamil Nadu,25936786.0,59457
315,West Bengal,68798298.0,122128
871,Bihar,,99125
984,Tamil Nadu,46766978.0,68642
71,Bihar,,50764
10,Gujarat,,70893
362,Kerala,,46100
445,Assam,,167124
858,Odisha,,93265
856,West Bengal,,166665
91,Assam,89444996.0,225225
48,Gujarat,,225002
813,Gujarat,73133743.0,184051
862,West Bengal,,180060
457,Kerala,,41355
57,UP,,173797
67,Bihar,44315407.0,238867
470,Odisha,42662052.0,59126
968,West Bengal,16480272.0,38740
421,Odisha,84583788.0,158249
234,UP,,52362
852,UP,,242816
486,UP,,72415
214,Gujarat,,230419
922,Assam,5072871.0,156402
932,Tamil Nadu,7130654.0,199461
255,UP,23058430.0,212090
412,Gujarat,,210685
746,Assam,,144407
634,Assam,73006116.0,132599
